category,source,copy,sha256,bytes,status,adaptation_notes
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\fix_broken_links_00_OS.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\fix_broken_links_00_OS.py,e05ae0a75eda51bb9ec977e231b2bb18342d1a456328db5a8e51d5b6ffafa7dd,7227,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\fix_broken_links_vault.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\fix_broken_links_vault.py,82342dacb36e59edebffd7fe02e31cf5a79933bc5f9d8bd312a1cbc93c5a8918,7909,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\import_codex_evidence.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\import_codex_evidence.py,c82c357972ac9405a844824f014450a650a74e38a16ef91ddd7ec3ec4ef84a62,4734,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\insert_jsc_images.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\insert_jsc_images.py,d5e9804a3c3c124c15722b3ea04506f2a28c073033037bf13f6eb310e73e2abb,8924,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\insert_logos_images.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\insert_logos_images.py,514163c49b5666aaf6bf39097d84da921416803da5cbac3f5a161cbe42d2d465,6920,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\list_unlinked.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\list_unlinked.py,3469583c073ba37f5a866b63b5481e0b490fbebbb5e41588a12ac1fff2355d1e,2269,REFERENCE_ONLY_NOT_RUN,machine-specific path references
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\make_junction.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\make_junction.py,f13c63ec3e8bab4cbc2a8e4b50b5055aa31d3487693321ff0d0c06e992758bb6,885,REFERENCE_ONLY_NOT_RUN,machine-specific path references
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\merge_canonical_folders.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\merge_canonical_folders.py,0bf3d953b6e1f1bee0c2727440a8736008f9d5193b86b65bed0b3de06e5188e8,4159,REFERENCE_ONLY_NOT_RUN,machine-specific path references
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\organize_canonical.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\organize_canonical.py,743c47ccc1dfe7cf3fa953d4e94c649d1739f7343c2df7fd3051f51634b50cdd,13636,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\paper_cleanup_tool.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\paper_cleanup_tool.py,de4b9b47898fc12d5a4153697dd589f5f2f58a33377e2df500c230c20a0ee74f,7618,REFERENCE_ONLY_NOT_RUN,writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\quarantine_mover.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\quarantine_mover.py,9d8abdef6e6149f033a55267a9a30f91cbbd2916db3897640c312bc9e810a0e2,3528,REFERENCE_ONLY_NOT_RUN,machine-specific path references; contains move/rename/delete operations
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\ring_tabbed_callout.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\ring_tabbed_callout.py,904cd33ec1ca81a8fcc416ecaa964db1621dd66ef4ef92184bf9fc106fb3b553,15741,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\score_icons.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\score_icons.py,76df4d59fcba488d890cde108a8bb05e66dd870c0c18f919fe01482a0bb00cd9,4605,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\strip_dead_links_vault.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\strip_dead_links_vault.py,f76e82db28ae0aa371cb12e4c50013be8ef5f7d6df164c51366248c9771b1b25,5660,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\SWITCHBOARD\build_canonical_switchboard.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\SWITCHBOARD\build_canonical_switchboard.py,36a798cf1f1c93f98a7e876899696be1812b3921b6668c074c6a7893b9e2306a,31652,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\03_VAULT_TOOLS\SWITCHBOARD\build_switchboard_graph.py,Obsidian_and_Documents\01_ENGINE\03_VAULT_TOOLS\SWITCHBOARD\build_switchboard_graph.py,4684d0cda2a97a1342ee5819a26ea687e4944c53b1c72f4285ba39dfc12fadd2,11070,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
